,genome_ID_x,scaffold,gene_oid,locus_tag_x,start_coord_x,end_coord_x,clust_ID_x,gene_ID_string,core_whole,Phylum,Genus,Species_x,Strain,40_percent_ID_group_x,Short name,len_aa,Definition
3749,2510917000,TerturDRAFT_scaffold_17.18,2510921206,TerturDRAFT_04215,19247,19639,1158,2510921206,,Proteobacteria,Teredinibacter,Teredinibacter turnerae,T8415,Cluster 143,,131,
3750,2510917000,TerturDRAFT_scaffold_17.18,2510921207,TerturDRAFT_04216,19670,20203,1158,2510921207,,Proteobacteria,Teredinibacter,Teredinibacter turnerae,T8415,Cluster 15,DUF4157,178,"Domain of unknown function (DUF4157); This presumed domain is functionally uncharacterized. This domain family is found in bacteria, archaea and eukaryotes, and is approximately 80 amino acids in length. This domain contains an HEXXH motif that is characteristic of many families of metallopeptidases. However, no peptidase activity has been shown for this domain."
3751,2510917000,TerturDRAFT_scaffold_17.18,2510921208,TerturDRAFT_04217,20223,22856,1158,2510921208,,Proteobacteria,Teredinibacter,Teredinibacter turnerae,T8415,Cluster 139,,878,
3752,2510917000,TerturDRAFT_scaffold_17.18,2510921209,TerturDRAFT_04218,22853,24280,1158,2510921209,,Proteobacteria,Teredinibacter,Teredinibacter turnerae,T8415,Cluster 10,SpoVK,476,"AAA+-type ATPase, SpoVK/Ycf46/Vps4 family [Cell wall/membrane/envelope biogenesis, Cell cycle control, cell division, chromosome partitioning, Signal transduction mechanisms]; ATPases of the AAA+ class [Posttranslational modification, protein turnover, chaperones]."
3753,2510917000,TerturDRAFT_scaffold_17.18,2510921210,TerturDRAFT_04219,24352,28524,1158,2510921210,afp14,Proteobacteria,Teredinibacter,Teredinibacter turnerae,T8415,,,,
3754,2510917000,TerturDRAFT_scaffold_17.18,2510921211,TerturDRAFT_04220,28521,30998,1158,2510921211,afp12,Proteobacteria,Teredinibacter,Teredinibacter turnerae,T8415,,,,
3755,2510917000,TerturDRAFT_scaffold_17.18,2510921212,TerturDRAFT_04221,30991,31887,1158,2510921212,afp13,Proteobacteria,Teredinibacter,Teredinibacter turnerae,T8415,,,,
3756,2510917000,TerturDRAFT_scaffold_17.18,2510921213,TerturDRAFT_04222,31880,36040,1158,2510921213,afp11,Proteobacteria,Teredinibacter,Teredinibacter turnerae,T8415,,,,
3757,2510917000,TerturDRAFT_scaffold_17.18,2510921214,TerturDRAFT_04223,36053,36490,1158,2510921214,afp9,Proteobacteria,Teredinibacter,Teredinibacter turnerae,T8415,,,,
3758,2510917000,TerturDRAFT_scaffold_17.18,2510921215,TerturDRAFT_04224,36492,36782,1158,2510921215,afp10,Proteobacteria,Teredinibacter,Teredinibacter turnerae,T8415,,,,
3759,2510917000,TerturDRAFT_scaffold_17.18,2510921216,TerturDRAFT_04225,36837,38657,1158,2510921216,afp8,Proteobacteria,Teredinibacter,Teredinibacter turnerae,T8415,,,,
